Import;ProFILE;NAME;Cost;Weight;Armor Class;Norm DT;Norm DR;Lasr DT;Lasr DR;Fire DT;Fire DR;Plas DT;Plas DR;Elec DT;Elec DR;Expl DT;Expl DR;EMP DT;EMP DR
#;00000003.pro;Leather Armor;700;8;15;2;25;2;0;0;20;0;10;0;30;1;20;0;500
#;00000001.pro;Metal Armor;1100;35;10;4;30;3;40;4;10;4;20;0;0;4;25;0;500
#;00000014.pro;Power Armor;12500;85;21;10;50;7;70;12;60;10;40;12;40;16;50;0;50
#;00000017.pro;Combat Armor;6500;20;20;6;40;4;25;4;30;4;50;2;50;6;40;0;500
#;00000074.pro;Leather Jacket;250;5;8;0;20;0;0;0;10;0;10;0;30;0;20;0;500
#;00000113.pro;Robes;90;10;5;0;10;0;0;0;10;0;10;0;40;0;20;0;500
#;00000232.pro;Hardened Power Armor;15000;100;21;12;50;8;70;14;60;13;40;13;40;18;50;0;50
#;00000239.pro;Brotherhood Armor;10000;25;22;8;45;6;65;7;50;7;60;6;60;9;45;0;500
#;00000240.pro;Tesla Armor;6500;35;15;4;35;3;90;4;15;10;80;12;80;4;30;0;500
#;00000265.pro;Combat Leather Jacket;1000;7;18;2;30;2;0;2;25;0;10;0;30;0;20;0;500
#;00000348.pro;Advanced Power Armor;20000;70;25;14;65;20;60;16;70;15;60;15;60;20;65;0;50
#;00000349.pro;Adv. Power Armor MKII;25000;80;26;14;70;25;70;16;70;18;60;15;65;20;70;0;100
#;00000379.pro;Leather Armor Mark II;1000;10;20;2;30;2;10;1;25;1;10;1;40;1;25;0;500
#;00000380.pro;Metal Armor Mark II;2000;35;11;4;35;3;65;4;15;4;25;1;10;4;30;0;500
#;00000381.pro;Combat Armor Mark II;8000;25;21;6;45;5;30;5;35;5;50;3;55;8;40;0;500
#;00000524.pro;Bridgekeeper's Robes;5;10;20;5;40;10;0;4;30;4;50;2;50;6;40;0;500
#;00000554.pro;Environmental Armor;0;10;10;4;40;4;40;4;40;3;25;1;10;4;40;1;10
#;00000588.pro;K-9 Kevlar;0;15;20;1;5;1;0;0;15;0;25;1;40;2;10;0;0
#;00000590.pro;Mutant Armor;0;100;15;1;0;10;20;0;0;6;10;10;10;2;10;0;0
#;00000593.pro;Nothing out of the ordinary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#;00000594.pro;Nothing out of the ordinary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#;00000595.pro;Nothing out of the ordinary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
