Import;ProFILE;NAME;Health Point;Exp Value;Norm DT;Norm DR;Las DT;Las DR;Fire DT;Fire DR;Plas DT;Plas DR;Elec DT;Elec DR;Expl DT;Expl DR
#;00000001.pro;Hero Male;30;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000002.pro;Hero Female;30;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000003.pro;Villager;50;100;0;0;0;0;0;0;0;0;0;0;0;0
#;00000004.pro;Villager;50;100;0;0;0;0;0;0;0;0;0;0;0;0
#;00000005.pro;Radscorpion;10;60;0;0;2;30;0;10;0;10;0;15;0;10
#;00000006.pro;Radscorpion;50;140;2;20;4;50;2;10;2;10;0;30;2;20
#;00000007.pro;Deathclaw;60;150;2;15;2;15;2;15;0;15;0;15;2;15
#;00000008.pro;Deathclaw;160;300;4;20;2;15;2;15;0;15;0;15;2;15
#;00000009.pro;Dog;14;40;0;15;0;15;0;15;0;15;0;20;0;10
#;00000010.pro;Brahmin;35;80;0;20;0;20;0;20;0;10;0;30;0;10
#;00000011.pro;Rat;6;25;0;0;0;0;0;0;0;0;0;0;0;0
#;00000012.pro;Mantis;14;70;0;0;0;0;0;0;0;0;0;0;0;0
#;00000013.pro;Elder;20;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000014.pro;Hakunin;20;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000015.pro;Mynoc;75;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000016.pro;Spore Plant;40;85;0;0;0;0;0;0;0;0;0;0;0;0
#;00000017.pro;Cute Slave;26;35;0;0;0;0;0;0;0;0;0;0;0;0
#;00000018.pro;Handsome Slave;28;35;0;0;0;0;0;0;0;0;0;0;0;0
#;00000019.pro;Healthy Slave;47;70;0;0;0;0;0;0;0;0;0;0;0;0
#;00000020.pro;Healthy Slave;50;70;0;0;0;0;0;0;0;0;0;0;0;0
#;00000021.pro;Strong Slave;35;75;0;0;0;0;0;0;0;0;0;0;0;0
#;00000022.pro;Strong Slave;37;75;0;0;0;0;0;0;0;0;0;0;0;0
#;00000023.pro;Combat Slave;55;80;2;25;2;0;0;20;0;10;0;30;1;20
#;00000024.pro;Combat Slave;60;80;2;25;2;0;0;20;0;10;0;30;1;20
#;00000025.pro;Clever Slave;35;40;0;0;0;0;0;0;0;0;0;0;0;0
#;00000026.pro;Clever Slave;38;40;0;0;0;0;0;0;0;0;0;0;0;0
#;00000027.pro;Generic Slave;33;50;0;0;0;0;0;0;0;0;0;0;0;0
#;00000028.pro;Generic Slave;35;50;0;0;0;0;0;0;0;0;0;0;0;0
#;00000029.pro;Anna;38;150;500;500;500;500;500;500;0;0;500;500;500;500
#;00000030.pro;Tough Thug;68;110;0;20;0;0;0;10;0;10;0;30;0;20
#;00000031.pro;Tough Thug;63;110;0;20;0;0;0;10;0;10;0;30;0;20
#;00000032.pro;Melee Thug;60;80;0;20;0;0;0;10;0;10;0;30;0;20
#;00000033.pro;Melee Thug;55;80;0;20;0;0;0;10;0;10;0;30;0;20
#;00000034.pro;Agile Thug;50;75;0;20;0;0;0;10;0;10;0;30;0;20
#;00000035.pro;Agile Thug;45;75;0;20;0;0;0;10;0;10;0;30;0;20
#;00000036.pro;Gun Thug;50;85;0;20;0;0;0;10;0;10;0;30;0;20
#;00000037.pro;Gun Thug;55;85;0;20;0;0;0;10;0;10;0;30;0;20
#;00000038.pro;Big Gun Thug;65;85;0;20;0;0;0;10;0;10;0;30;0;20
#;00000039.pro;Big Gun Thug;60;85;0;20;0;0;0;10;0;10;0;30;0;20
#;00000040.pro;Tough Guard;80;120;4;30;3;40;4;10;4;20;0;0;4;25
#;00000041.pro;Tough Guard;76;120;4;30;3;40;4;10;4;20;0;0;4;25
#;00000042.pro;Melee Guard;65;90;4;30;3;40;4;10;4;20;0;0;4;25
#;00000043.pro;Melee Guard;60;90;4;30;3;40;4;10;4;20;0;0;4;25
#;00000044.pro;Agile Guard;58;85;4;30;3;40;4;10;4;20;0;0;4;25
#;00000045.pro;Agile Guard;54;85;4;30;3;40;4;10;4;20;0;0;4;25
#;00000046.pro;Gun Guard;67;95;4;30;3;40;4;10;4;20;0;0;4;25
#;00000047.pro;Gun Guard;64;95;4;30;3;40;4;10;4;20;0;0;4;25
#;00000048.pro;Big Gun Guard;75;95;4;30;3;40;4;10;4;20;0;0;4;25
#;00000049.pro;Big Gun Guard;70;95;4;30;3;40;4;10;4;20;0;0;4;25
#;00000050.pro;Orphan (Male);26;30;0;0;0;0;0;0;0;0;0;0;0;0
#;00000051.pro;Orphan (Female);20;30;0;0;0;0;0;0;0;0;0;0;0;0
#;00000052.pro;Child (Male);21;30;0;0;0;0;0;0;0;0;0;0;0;0
#;00000053.pro;Child (Female);25;30;0;0;0;0;0;0;0;0;0;0;0;0
#;00000054.pro;Loser;25;35;0;0;0;0;0;0;0;0;0;0;0;0
#;00000055.pro;Loser;22;35;0;0;0;0;0;0;0;0;0;0;0;0
#;00000056.pro;Bad Merchant;63;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000057.pro;Bad Merchant;57;60;0;0;0;0;0;0;0;0;0;0;0;0
#;00000058.pro;Average Merchant;49;50;0;0;0;0;0;0;0;0;0;0;0;0
#;00000059.pro;Average Merchant;46;50;0;0;0;0;0;0;0;0;0;0;0;0
#;00000060.pro;Master Trader;48;40;0;0;0;0;0;0;0;0;0;0;0;0
#;00000061.pro;Master Trader;42;40;0;0;0;0;0;0;0;0;0;0;0;0
#;00000062.pro;Vic;70;240;0;0;0;0;0;0;0;0;0;0;0;0
#;00000063.pro;Weak Peasant;30;30;0;0;0;0;0;0;0;0;0;0;0;0
#;00000064.pro;Weak Peasant;25;30;0;0;0;0;0;0;0;0;0;0;0;0
#;00000065.pro;Average Peasant;33;40;0;0;0;0;0;0;0;0;0;0;0;0
#;00000066.pro;Average Peasant;28;40;0;0;0;0;0;0;0;0;0;0;0;0
#;00000067.pro;Strong Peasant;36;55;0;0;0;0;0;0;0;0;0;0;0;0
#;00000068.pro;Strong Peasant;31;55;0;0;0;0;0;0;0;0;0;0;0;0
#;00000069.pro;Weak Melee Guard;45;70;2;25;2;0;0;20;0;10;0;30;1;20
#;00000070.pro;Weak Melee Guard;42;70;2;25;2;0;0;20;0;10;0;30;1;20
#;00000071.pro;Weak Gun Guard;43;75;2;25;2;0;0;20;0;10;0;30;1;20
#;00000072.pro;Weak Gun Guard;46;75;2;25;2;0;0;20;0;10;0;30;1;20
#;00000073.pro;Repair Bot;60;240;4;30;6;75;4;10;4;20;0;0;4;25
#;00000074.pro;Repair Bot Mark II;80;280;4;30;6;75;4;10;4;20;0;0;4;25
#;00000075.pro;Robobrain;80;300;5;40;8;60;4;30;4;50;2;50;6;40
