Import;ProFILE;NAME;PID;Damage Type;Min Damage;Max Damage;Attack Primary;Attack Secondary;Range Primary;Range Secondary;AP Cost Primary;AP Cost Secondary;Max Ammo;Burst Rounds;Caliber;Ammo PID;Min Strength;Cost;Weight;Perk
;00000012.pro;Knife;4;Normal;2;6;Swing;Thrust;1;1;3;4;0;0;None [0];;2;100;1;
;00000009.pro;Club;5;Normal;1;6;Swing;None;1;0;3;0;0;0;None [0];;3;100;3;
;00000005.pro;Sledgehammer;6;Normal;7;10;Swing;Thrust;2;2;4;5;0;0;None [0];;6;250;12;Weapon Knockback [61]
;00000013.pro;Spear;7;Normal;3;10;Thrust;Throw;2;8;4;5;0;0;None [0];;4;175;4;
;00000004.pro;10mm Pistol;8;Normal;5;10;Single;None;18;0;4;0;10;0;10mm [8];10mm JHP [29];3;250;3;
;00000002.pro;10mm SMG;9;Normal;7;12;Single;Burst;25;15;5;6;30;6;10mm [8];10mm JHP [29];4;1000;5;
;00000011.pro;Hunting Rifle;10;Normal;12;20;Single;None;40;0;5;0;10;0;.223 [5];.223 FMJ [34];5;1000;8;Weapon Accurate [59]
;00000010.pro;Flamer;11;Fire;50;90;Flame;None;5;0;6;0;5;1;Flamethrower Fuel [2];Flamethrower Fuel [32];6;2500;18;
;00000006.pro;Minigun;12;Normal;9;14;Burst;None;35;0;6;0;120;30;5mm [6];5mm JHP [35];7;3800;28;Weapon Long Range [58]
;00000007.pro;Rocket Launcher;13;Explode;45;90;Single;None;40;0;6;0;1;0;Rocket [1];Explosive Rocket [14];6;2500;15;Weapon Long Range [58]
;00000015.pro;Plasma Rifle;15;Plasma;40;70;Single;None;35;0;5;0;24;0;D Energy Cell [4];Micro Fusion Cell [39];6;4500;12;Weapon Long Range [58]
;00000016.pro;Laser Pistol;16;Laser;16;26;Single;None;30;0;4;0;12;0;C Energy Cell [3];Small Energy Cell [38];3;1400;4;Weapon Accurate [59]
;00000018.pro;Desert Eagle .44;18;Normal;10;18;Single;None;22;0;5;0;8;0;.44 cal [9];.44 Magnum JHP [31];4;750;4;
;00000019.pro;Rock;19;Normal;1;3;Throw;Punch;15;1;4;3;0;0;None [0];;1;0;1;
;00000020.pro;Crowbar;20;Normal;3;10;Swing;None;1;0;4;0;0;0;None [0];;5;75;5;
;00000021.pro;Brass Knuckles;21;Normal;2;5;Punch;None;1;0;3;0;0;0;None [0];;1;50;1;
;00000022.pro;14mm Pistol;22;Normal;16;28;Single;None;20;0;5;0;6;0;14mm [10];14mm AP [33];5;1800;4;
;00000023.pro;Assault Rifle;23;Normal;10;16;Single;Burst;40;35;5;6;24;8;5mm [6];5mm JHP [35];5;1600;7;Weapon Accurate [59]
;00000024.pro;Plasma Pistol;24;Plasma;20;35;Single;None;15;0;4;0;16;0;C Energy Cell [3];Small Energy Cell [38];4;2750;4;
;00000025.pro;Grenade (Frag);25;Explode;30;70;Throw;None;25;0;4;0;0;0;None [0];;3;150;1;Weapon Accurate [59]
;00000026.pro;Grenade (Plasma);26;Plasma;60;100;Throw;None;25;0;4;0;0;0;None [0];;4;350;1;Weapon Accurate [59]
;00000027.pro;Grenade (Pulse);27;EMP;100;150;Throw;None;25;0;4;0;0;0;None [0];;4;250;1;Weapon Accurate [59]
#;00000028.pro;Gatling Laser;28;Laser;20;40;Burst;None;40;0;6;0;30;10;D Energy Cell [4];Micro Fusion Cell [39];6;7500;24;Weapon Long Range [58]
;00000045.pro;Throwing Knife;45;Normal;6;10;Throw;None;22;0;5;0;0;0;None [0];;3;75;1;
;00000079.pro;Flare;79;Normal;1;1;Throw;None;15;0;1;0;0;0;None [0];;0;35;1;Weapon Accurate [59]
;00000094.pro;Shotgun;94;Normal;14;28;Single;None;16;7;5;6;2;2;12-gauge [11];12 ga. Buckshot [95];4;750;5;
;00000115.pro;Super Sledge;115;Normal;18;36;Swing;Thrust;2;2;4;5;0;0;None [0];;5;3750;12;Weapon Knockback [61]
;00000116.pro;Ripper;116;Normal;15;32;Swing;Thrust;1;1;4;4;10;0;C Energy Cell [3];Small Energy Cell [38];4;1400;2;Weapon Penetrate [60]
