Import;ProFILE;NAME;Cost;Weight;Caliber;Quantity;AC Adjust;DR Adjust;Dam Mult;Dam Div
#;00000008.pro;Explosive Rocket;200;3;Rocket;1;-10;0;1;1
#;00000029.pro;10mm JHP;75;1;10mm;24;0;0;2;1
#;00000030.pro;10mm AP;100;1;10mm;24;-5;0;1;2
#;00000031.pro;.44 Magnum JHP;50;1;.44 cal;20;0;-10;2;1
#;00000032.pro;Flamethrower Fuel;250;10;Flamethrower Fuel;10;-20;0;1;1
#;00000033.pro;14mm AP;150;1;14mm;30;-5;-30;1;2
#;00000034.pro;.223 FMJ;200;2;.223;50;-15;-15;2;2
#;00000035.pro;5mm JHP;100;1;5mm;50;0;-15;2;1
#;00000036.pro;5mm AP;120;1;5mm;50;-5;-15;1;2
#;00000037.pro;Rocket AP;400;3;Rocket;1;-10;0;1;2
#;00000038.pro;Small Energy Cell;400;3;C Energy Cell;40;-20;0;2;1
#;00000039.pro;Micro Fusion Cell;1000;5;D Energy Cell;50;-15;0;2;1
#;00000095.pro;12 ga. Shotgun Shells;225;1;12-gauge;20;-15;0;3;1
#;00000111.pro;.44 magnum FMJ;50;2;.44 cal;20;-5;-10;2;2
#;00000121.pro;9mm ball;100;2;9mm;20;0;0;1;1
#;00000163.pro;BB's;20;2;None;20;0;0;1;1
#;00000274.pro;Robo Rocket Ammo;0;10;Rocket;6;-10;-10;1;1
#;00000357.pro;.45 Caliber;75;1;.45 cal;10;0;-5;2;1
#;00000358.pro;2mm EC;400;1;2mm;50;-25;-20;1;3
#;00000359.pro;4.7mm Caseless;600;1;4.7mm caseless;50;-5;-25;1;2
#;00000360.pro;9mm;100;1;9mm;20;0;0;2;1
#;00000361.pro;HN Needler Cartridge;250;1;HN needler;30;-20;-5;1;1
#;00000362.pro;HN AP Needler Cartridge;300;1;HN needler;10;-20;-5;1;2
#;00000363.pro;7.62mm;150;1;7.62mm;20;-10;-20;2;2
#;00000382.pro;Flamethrower Fuel MKII;250;10;Flamethrower Fuel;10;-20;-15;1;1
