Import;ProFILE;NAME;Damage Type;Min Damage;Max Damage;Range Primary Attack;Range Secondary Attack;AP Cost Primary Attack;AP Cost Secondary Attack;Max Ammo;Rounds Brust;Caliber;Min Strength;Cost;Weight;Perk
#;00000012.pro;Knife;Normal;1;6;1;1;3;3;0;0;None;2;40;1;
#;00000009.pro;Club;Normal;1;6;1;0;3;0;0;0;None;3;30;3;
#;00000005.pro;Sledgehammer;Normal;4;9;2;2;4;5;0;0;None;6;120;12;Weapon Knockback [61]
#;00000013.pro;Spear;Normal;3;10;2;8;4;6;0;0;None;4;80;4;
#;00000004.pro;10mm Pistol;Normal;5;12;25;0;5;0;12;1;10mm;3;250;3;
#;00000002.pro;10mm SMG;Normal;5;12;25;20;5;6;30;10;10mm;4;1000;5;
#;00000011.pro;Hunting Rifle;Normal;8;20;40;0;5;0;10;0;.223;5;1000;9;Weapon Long Range [58]
#;00000010.pro;Flamer;Fire;45;90;5;0;6;0;5;1;Flamethrower Fuel;6;2000;18;
#;00000006.pro;Minigun;Normal;7;11;35;0;6;0;120;40;5mm;7;3800;28;Weapon Long Range [58]
#;00000007.pro;Rocket Launcher;Explode;35;100;40;0;6;0;1;0;Rocket;6;2300;15;Weapon Long Range [58]
#;00000015.pro;Plasma Rifle;Plasma;30;65;25;0;5;0;10;0;D Energy Cell;6;4000;12;Weapon Long Range [58]
#;00000016.pro;Laser Pistol;Laser;10;22;35;0;5;0;12;0;C Energy Cell;3;1400;4;
#;00000018.pro;Desert Eagle .44;Normal;10;16;25;0;5;0;8;0;.44 cal;4;800;4;
#;00000019.pro;Rock;Normal;1;4;15;1;4;3;0;0;None;1;0;1;
#;00000020.pro;Crowbar;Normal;3;10;1;0;4;0;0;0;None;5;65;5;
#;00000021.pro;Brass Knuckles;Normal;2;5;1;0;3;0;0;0;None;1;40;1;
#;00000022.pro;14mm Pistol;Normal;12;22;24;0;5;0;6;0;14mm;4;1100;4;Weapon Accurate [59]
#;00000023.pro;Assault Rifle;Normal;8;16;45;38;5;6;24;8;5mm;5;1300;7;Weapon Long Range [58]
#;00000024.pro;Plasma Pistol;Plasma;15;35;20;0;5;0;16;0;C Energy Cell;4;2750;4;
#;00000025.pro;Grenade (Frag);Explode;20;35;15;0;4;0;0;0;None;3;150;1;
#;00000026.pro;Grenade (Plasma);Plasma;40;90;15;0;4;0;0;0;None;4;300;1;
#;00000027.pro;Grenade (Pulse);EMP;100;150;15;0;4;0;0;0;None;4;250;1;
#;00000028.pro;Gatling Laser;Laser;20;40;40;0;6;0;30;10;D Energy Cell;6;7500;24;Weapon Long Range [58]
#;00000045.pro;Throwing Knife;Normal;3;6;16;1;5;4;0;0;None;3;100;1;
#;00000079.pro;Flare;Normal;1;1;15;0;1;0;0;0;None;0;35;1;Weapon Accurate [59]
#;00000094.pro;Shotgun;Normal;12;22;14;12;5;6;2;2;12-gauge;4;800;5;Weapon Accurate [59]
#;00000115.pro;Super Sledge;Normal;18;36;2;2;3;4;0;0;None;5;3750;12;Weapon Knockback [61]
#;00000116.pro;Ripper;Normal;15;32;1;1;4;4;30;0;C Energy Cell;4;900;2;Weapon Penetrate [60]
